document_name,page_number,country,iso3,frequency
OCR-D32875091.json,27,Burkina Faso,BFA,1
OCR-D32875091.json,27,India,IND,1
OCR-D32875091.json,27,Kenya,KEN,1
OCR-D32875091.json,27,Pakistan,PAK,1
OCR-D32875091.json,28,Ghana,GHA,1
OCR-D32875091.json,28,Indonesia,IDN,1
OCR-D32875091.json,28,Uganda,UGA,1
OCR-D32875091.json,29,Ghana,GHA,1
OCR-D32875091.json,29,Indonesia,IDN,1
OCR-D32875091.json,29,India,IND,1
OCR-D32875091.json,29,Kenya,KEN,1
OCR-D32875091.json,29,Sierra Leone,SLE,1
OCR-D32875091.json,29,Uganda,UGA,1
OCR-D32875091.json,29,Yemen,YEM,1
OCR-D32875091.json,30,Indonesia,IDN,1
OCR-D32875091.json,30,Jamaica,JAM,1
OCR-D32875091.json,30,Kenya,KEN,1
OCR-D32875091.json,31,Burkina Faso,BFA,1
OCR-D32875091.json,31,Indonesia,IDN,1
OCR-D32875091.json,31,India,IND,1
OCR-D32875091.json,31,Nigeria,NGA,1
OCR-D32875091.json,31,Romania,ROU,1
OCR-D32875091.json,32,Benin,BEN,1
OCR-D32875091.json,32,Indonesia,IDN,1
OCR-D32875091.json,32,Mexico,MEX,1
OCR-D32875091.json,42,Indonesia,IDN,1
OCR-D32875091.json,43,Indonesia,IDN,1
OCR-D32875091.json,57,Indonesia,IDN,1
OCR-D32875091.json,64,Indonesia,IDN,1
OCR-D32875091.json,74,Indonesia,IDN,1
OCR-D32875091.json,75,Indonesia,IDN,1
OCR-D32875091.json,76,Indonesia,IDN,1
OCR-D32875091.json,77,Indonesia,IDN,1
OCR-D32875091.json,78,Indonesia,IDN,1
OCR-D32875091.json,80,Indonesia,IDN,1
OCR-D5796629.json,0,Guatemala,GTM,1
OCR-D5796629.json,1,Guatemala,GTM,1
OCR-D5796629.json,2,Guatemala,GTM,1
OCR-D5796629.json,3,Guatemala,GTM,1
OCR-D5796629.json,4,Guatemala,GTM,1
OCR-D5796629.json,5,Guatemala,GTM,1
OCR-D5796629.json,6,Costa Rica,CRI,1
OCR-D5796629.json,6,Guatemala,GTM,1
OCR-D5796629.json,6,Honduras,HND,1
OCR-D5796629.json,6,Nicaragua,NIC,1
OCR-D5796629.json,6,El Salvador,SLV,1
OCR-D5796629.json,7,Guatemala,GTM,1
OCR-D5796629.json,8,Guatemala,GTM,1
OCR-D5796629.json,9,Guatemala,GTM,1
OCR-D5796629.json,10,Guatemala,GTM,1
OCR-D5796629.json,11,Costa Rica,CRI,1
OCR-D5796629.json,11,Guatemala,GTM,1
OCR-D5796629.json,11,Honduras,HND,1
OCR-D5796629.json,11,Mexico,MEX,1
OCR-D5796629.json,11,Nicaragua,NIC,1
