document,page,country,iso3,frequency
OCR-D34385584.json,2,China,CHN,1
OCR-D34385584.json,4,China,CHN,1
OCR-D34385584.json,7,China,CHN,1
OCR-D34385584.json,8,China,CHN,1
OCR-D34385584.json,10,China,CHN,1
OCR-D34385584.json,11,China,CHN,1
OCR-D34385584.json,20,China,CHN,1
OCR-D34385584.json,23,Thailand,THA,1
OCR-D34385584.json,23,China,CHN,1
OCR-D34385584.json,28,China,CHN,1
OCR-D34385584.json,34,Japan,JPN,1
OCR-D30352919.json,9,China,CHN,1
OCR-D30352919.json,10,Russian Federation,RUS,1
OCR-D30352919.json,11,China,CHN,1
OCR-D30352919.json,12,Poland,POL,1
OCR-D30352919.json,12,China,CHN,1
OCR-D30352919.json,12,United States,USA,1
OCR-D30352919.json,12,Hungary,HUN,1
OCR-D30352919.json,12,Russia,,1
OCR-D30352919.json,12,France,FRA,1
OCR-D30352919.json,12,Peru,PER,1
OCR-D30352919.json,21,North Korea,,1
OCR-D30352919.json,22,Somalia,SOM,1
OCR-D30352919.json,22,Saudi Arabia,SAU,1
OCR-D30352919.json,22,Türkiye,TUR,1
OCR-D30352919.json,22,South Africa,ZAF,1
OCR-D30352919.json,22,Russia,,1
OCR-D30352919.json,22,Rwanda,RWA,1
OCR-D30352919.json,23,Peru,PER,1
OCR-D30352919.json,23,Poland,POL,1
OCR-D30352919.json,23,Hungary,HUN,1
OCR-D30352919.json,23,Czechia,CZE,1
OCR-D30352919.json,25,Romania,ROU,1
OCR-D30352919.json,26,Myanmar,MMR,1
OCR-D30352919.json,27,Norway,NOR,1
OCR-D30352919.json,48,India,IND,1
OCR-D30352919.json,48,Russia,,1
OCR-D30352919.json,52,Kazakhstan,KAZ,1
OCR-D30352919.json,52,Kyrgyzstan,KGZ,1
OCR-D33780485.json,0,Vietnam,,1
OCR-D33780485.json,1,Vietnam,,1
OCR-D33780485.json,5,India,IND,1
OCR-D33780485.json,8,Vietnam,,1
OCR-D33780485.json,12,Timor-Leste,TLS,1
OCR-D33780485.json,14,Timor-Leste,TLS,1
OCR-D33780485.json,15,Timor-Leste,TLS,1
OCR-D33780485.json,20,Vietnam,,1
OCR-D26744506.json,1,Syrian Arab Republic,SYR,1
OCR-D26744506.json,1,Afghanistan,AFG,1
OCR-D26744506.json,3,South Africa,ZAF,1
OCR-D26744506.json,5,Ethiopia,ETH,1
